,Unnamed: 0,year,state,measure,value,population
0,0,2005,Alabama,Labor Force Participation,61.7,"4,569,805"
1,550,2005,Alabama,Unemployment rate,4.5,"4,569,805"
2,1100,2005,Alabama,Average household size,2.48,"4,569,805"
3,1650,2005,Alabama,Poverty rate,13.7,"4,569,805"
4,2200,2005,Alabama,"Number of corruption convictions per 1,000,000 people",5.68951,"4,569,805"
5,2750,2005,Alabama,Gini coefficient,0.47300002,"4,569,805"
6,3300,2005,Alabama,GDP,40829.08606,"4,569,805"
7,3850,2005,Alabama,Log(GDP),10.61715,"4,569,805"
8,4400,2005,Alabama,Age,37.4,"4,569,805"
9,4950,2005,Alabama,People with less than 9 years of education/people with college degree or above,0.2972893,"4,569,805"
10,5500,2005,Alabama,Black/white,0.3691249,"4,569,805"
11,6050,2005,Alabama,Hispanic/white,0.0320121,"4,569,805"
12,1,2006,Alabama,Labor Force Participation,61.5,"4,628,981"
13,551,2006,Alabama,Unemployment rate,4.0,"4,628,981"
14,1101,2006,Alabama,Average household size,2.5,"4,628,981"
15,1651,2006,Alabama,Poverty rate,12.6,"4,628,981"
16,2201,2006,Alabama,"Number of corruption convictions per 1,000,000 people",11.0175,"4,628,981"
17,2751,2006,Alabama,Gini coefficient,0.472,"4,628,981"
18,3301,2006,Alabama,GDP,40181.42086,"4,628,981"
19,3851,2006,Alabama,Log(GDP),10.60116,"4,628,981"
20,4401,2006,Alabama,Age,37.2,"4,628,981"
21,4951,2006,Alabama,People with less than 9 years of education/people with college degree or above,0.3130323,"4,628,981"
22,5501,2006,Alabama,Black/white,0.37965,"4,628,981"
23,6051,2006,Alabama,Hispanic/white,0.0351332,"4,628,981"
24,2,2007,Alabama,Labor Force Participation,61.1,"4,672,840"
25,552,2007,Alabama,Unemployment rate,4.0,"4,672,840"
26,1102,2007,Alabama,Average household size,2.48,"4,672,840"
27,1652,2007,Alabama,Poverty rate,13.1,"4,672,840"
28,2202,2007,Alabama,"Number of corruption convictions per 1,000,000 people",11.1281,"4,672,840"
29,2752,2007,Alabama,Gini coefficient,0.47099999,"4,672,840"
30,3302,2007,Alabama,GDP,40162.94165,"4,672,840"
31,3852,2007,Alabama,Log(GDP),10.6007,"4,672,840"
32,4402,2007,Alabama,Age,37.3,"4,672,840"
33,4952,2007,Alabama,People with less than 9 years of education/people with college degree or above,0.296267,"4,672,840"
34,5502,2007,Alabama,Black/white,0.3804643,"4,672,840"
35,6052,2007,Alabama,Hispanic/white,0.0375909,"4,672,840"
36,3,2008,Alabama,Labor Force Participation,60.6,"4,718,206"
37,553,2008,Alabama,Unemployment rate,5.7,"4,718,206"
38,1103,2008,Alabama,Average household size,2.5,"4,718,206"
39,1653,2008,Alabama,Poverty rate,12.0,"4,718,206"
40,2203,2008,Alabama,"Number of corruption convictions per 1,000,000 people",3.64658,"4,718,206"
41,2753,2008,Alabama,Gini coefficient,0.46700001,"4,718,206"
42,3303,2008,Alabama,GDP,39747.41156,"4,718,206"
43,3853,2008,Alabama,Log(GDP),10.5903,"4,718,206"
44,4403,2008,Alabama,Age,37.4,"4,718,206"
45,4953,2008,Alabama,People with less than 9 years of education/people with college degree or above,0.2789401,"4,718,206"
46,5503,2008,Alabama,Black/white,0.3828507,"4,718,206"
47,6053,2008,Alabama,Hispanic/white,0.0408255,"4,718,206"
48,4,2009,Alabama,Labor Force Participation,59.7,"4,757,938"
49,554,2009,Alabama,Unemployment rate,11.0,"4,757,938"
50,1104,2009,Alabama,Average household size,2.48,"4,757,938"
51,1654,2009,Alabama,Poverty rate,13.4,"4,757,938"
52,2204,2009,Alabama,"Number of corruption convictions per 1,000,000 people",4.88457,"4,757,938"
53,2754,2009,Alabama,Gini coefficient,0.47099999,"4,757,938"
54,3304,2009,Alabama,GDP,37807.01703,"4,757,938"
55,3854,2009,Alabama,Log(GDP),10.54025,"4,757,938"
56,4404,2009,Alabama,Age,37.4,"4,757,938"
57,4954,2009,Alabama,People with less than 9 years of education/people with college degree or above,0.2730448,"4,757,938"
58,5504,2009,Alabama,Black/white,0.3843096,"4,757,938"
59,6054,2009,Alabama,Hispanic/white,0.0463569,"4,757,938"
60,5,2010,Alabama,Labor Force Participation,59.5,"4,785,437"
61,555,2010,Alabama,Unemployment rate,10.5,"4,785,437"
62,1105,2010,Alabama,Average household size,2.57,"4,785,437"
63,1655,2010,Alabama,Poverty rate,14.7,"4,785,437"
64,2205,2010,Alabama,"Number of corruption convictions per 1,000,000 people",2.92563,"4,785,437"
65,2755,2010,Alabama,Gini coefficient,0.472,"4,785,437"
66,3305,2010,Alabama,GDP,38088.20755,"4,785,437"
67,3855,2010,Alabama,Log(GDP),10.54766,"4,785,437"
68,4405,2010,Alabama,Age,37.8,"4,785,437"
69,4955,2010,Alabama,People with less than 9 years of education/people with college degree or above,0.2823263,"4,785,437"
70,5505,2010,Alabama,Black/white,0.393883,"4,785,437"
71,6055,2010,Alabama,Hispanic/white,0.0570079,"4,785,437"
72,6,2011,Alabama,Labor Force Participation,59.1,"4,799,069"
73,556,2011,Alabama,Unemployment rate,9.6,"4,799,069"
74,1106,2011,Alabama,Average household size,2.54,"4,799,069"
75,1656,2011,Alabama,Poverty rate,14.9,"4,799,069"
76,2206,2011,Alabama,"Number of corruption convictions per 1,000,000 people",2.915,"4,799,069"
77,2756,2011,Alabama,Gini coefficient,0.47350001,"4,799,069"
78,3306,2011,Alabama,GDP,38531.06199,"4,799,069"
79,3856,2011,Alabama,Log(GDP),10.55922,"4,799,069"
80,4406,2011,Alabama,Age,38.1,"4,799,069"
81,4956,2011,Alabama,People with less than 9 years of education/people with college degree or above,0.2504067,"4,799,069"
82,5506,2011,Alabama,Black/white,0.4000218,"4,799,069"
83,6056,2011,Alabama,Hispanic/white,0.0581422,"4,799,069"
84,7,2012,Alabama,Labor Force Participation,58.1,"4,815,588"
85,557,2012,Alabama,Unemployment rate,8.0,"4,815,588"
86,1107,2012,Alabama,Average household size,2.55,"4,815,588"
87,1657,2012,Alabama,Poverty rate,14.7,"4,815,588"
88,2207,2012,Alabama,"Number of corruption convictions per 1,000,000 people",2.90335,"4,815,588"
89,2757,2012,Alabama,Gini coefficient,0.47260001,"4,815,588"
90,3307,2012,Alabama,GDP,38634.85008,"4,815,588"
91,3857,2012,Alabama,Log(GDP),10.56191,"4,815,588"
92,4407,2012,Alabama,Age,38.2,"4,815,588"
93,4957,2012,Alabama,People with less than 9 years of education/people with college degree or above,0.2295937,"4,815,588"
94,5507,2012,Alabama,Black/white,0.3972534,"4,815,588"
95,6057,2012,Alabama,Hispanic/white,0.0577254,"4,815,588"
96,8,2013,Alabama,Labor Force Participation,57.7,"4,830,081"
97,558,2013,Alabama,Unemployment rate,7.2,"4,830,081"
98,1108,2013,Alabama,Average household size,2.59,"4,830,081"
99,1658,2013,Alabama,Poverty rate,14.3,"4,830,081"
100,2208,2013,Alabama,"Number of corruption convictions per 1,000,000 people",2.89632,"4,830,081"
101,2758,2013,Alabama,Gini coefficient,0.4752,"4,830,081"
102,3308,2013,Alabama,GDP,38927.64712,"4,830,081"
103,3858,2013,Alabama,Log(GDP),10.56946,"4,830,081"
104,4408,2013,Alabama,Age,38.3,"4,830,081"
105,4958,2013,Alabama,People with less than 9 years of education/people with college degree or above,0.2089839,"4,830,081"
106,5508,2013,Alabama,Black/white,0.4007154,"4,830,081"
107,6058,2013,Alabama,Hispanic/white,0.0592706,"4,830,081"
108,9,2014,Alabama,Labor Force Participation,57.1,"4,841,799"
109,559,2014,Alabama,Unemployment rate,6.8,"4,841,799"
110,1109,2014,Alabama,Average household size,2.57,"4,841,799"
111,1659,2014,Alabama,Poverty rate,15.0,"4,841,799"
112,2209,2014,Alabama,"Number of corruption convictions per 1,000,000 people",2.26833,"4,841,799"
113,2759,2014,Alabama,Gini coefficient,0.47580001,"4,841,799"
114,3309,2014,Alabama,GDP,38424.47864,"4,841,799"
115,3859,2014,Alabama,Log(GDP),10.55645,"4,841,799"
116,4409,2014,Alabama,Age,38.6,"4,841,799"
117,4959,2014,Alabama,People with less than 9 years of education/people with college degree or above,0.2155239,"4,841,799"
118,5509,2014,Alabama,Black/white,0.4029985,"4,841,799"
119,6059,2014,Alabama,Hispanic/white,0.0600252,"4,841,799"
120,10,2015,Alabama,Labor Force Participation,56.8,"4,852,347"
121,560,2015,Alabama,Unemployment rate,6.1,"4,852,347"
122,1110,2015,Alabama,Average household size,2.57,"4,852,347"
123,1660,2015,Alabama,Poverty rate,13.7,"4,852,347"
124,2210,2015,Alabama,"Number of corruption convictions per 1,000,000 people",2.88126,"4,852,347"
125,2760,2015,Alabama,Gini coefficient,0.48109999,"4,852,347"
126,3310,2015,Alabama,GDP,38838.6048,"4,852,347"
127,3860,2015,Alabama,Log(GDP),10.56717,"4,852,347"
128,4410,2015,Alabama,Age,38.7,"4,852,347"
129,4960,2015,Alabama,People with less than 9 years of education/people with college degree or above,0.2003214,"4,852,347"
130,5510,2015,Alabama,Black/white,0.4067625,"4,852,347"
131,6060,2015,Alabama,Hispanic/white,0.0601952,"4,852,347"
132,11,2005,Alaska,Labor Force Participation,71.7,"666,946"
133,561,2005,Alaska,Unemployment rate,6.9,"666,946"
134,1111,2005,Alaska,Average household size,2.75,"666,946"
135,1661,2005,Alaska,Poverty rate,8.3,"666,946"
136,2211,2005,Alaska,"Number of corruption convictions per 1,000,000 people",1.49937,"666,946"
137,2761,2005,Alaska,Gini coefficient,0.42499998,"666,946"
138,3311,2005,Alaska,GDP,70203.96009,"666,946"
139,3861,2005,Alaska,Log(GDP),11.15916,"666,946"
140,4411,2005,Alaska,Age,33.9,"666,946"
141,4961,2005,Alaska,People with less than 9 years of education/people with college degree or above,0.1261195,"666,946"
142,5511,2005,Alaska,Black/white,0.0510625,"666,946"
143,6061,2005,Alaska,Hispanic/white,0.0720261,"666,946"
144,12,2006,Alaska,Labor Force Participation,71.4,"675,302"
145,562,2006,Alaska,Unemployment rate,6.6,"675,302"
146,1112,2006,Alaska,Average household size,2.81,"675,302"
147,1662,2006,Alaska,Poverty rate,8.2,"675,302"
148,2212,2006,Alaska,"Number of corruption convictions per 1,000,000 people",4.44246,"675,302"
149,2762,2006,Alaska,Gini coefficient,0.417,"675,302"
150,3312,2006,Alaska,GDP,72407.85015,"675,302"
151,3862,2006,Alaska,Log(GDP),11.19007,"675,302"
152,4412,2006,Alaska,Age,33.5,"675,302"
153,4962,2006,Alaska,People with less than 9 years of education/people with college degree or above,0.1415668,"675,302"
154,5512,2006,Alaska,Black/white,0.0459945,"675,302"
155,6062,2006,Alaska,Hispanic/white,0.0844656,"675,302"
156,13,2007,Alaska,Labor Force Participation,70.7,"680,300"
157,563,2007,Alaska,Unemployment rate,6.3,"680,300"
158,1113,2007,Alaska,Average household size,2.8,"680,300"
159,1663,2007,Alaska,Poverty rate,6.5,"680,300"
160,2213,2007,Alaska,"Number of corruption convictions per 1,000,000 people",22.0491,"680,300"
161,2763,2007,Alaska,Gini coefficient,0.40900001,"680,300"
162,3313,2007,Alaska,GDP,74784.80488,"680,300"
163,3863,2007,Alaska,Log(GDP),11.22237,"680,300"
164,4413,2007,Alaska,Age,33.3,"680,300"
165,4963,2007,Alaska,People with less than 9 years of education/people with college degree or above,0.1484212,"680,300"
166,5513,2007,Alaska,Black/white,0.0550718,"680,300"
167,6063,2007,Alaska,Hispanic/white,0.0852169,"680,300"
168,14,2008,Alaska,Labor Force Participation,71.0,"687,455"
169,564,2008,Alaska,Unemployment rate,6.7,"687,455"
170,1114,2008,Alaska,Average household size,2.8,"687,455"
171,1664,2008,Alaska,Poverty rate,5.7,"687,455"
172,2214,2008,Alaska,"Number of corruption convictions per 1,000,000 people",11.6568,"687,455"
173,2764,2008,Alaska,Gini coefficient,0.403,"687,455"
174,3314,2008,Alaska,GDP,74142.93032,"687,455"
175,3864,2008,Alaska,Log(GDP),11.21375,"687,455"
176,4414,2008,Alaska,Age,33.0,"687,455"
177,4964,2008,Alaska,People with less than 9 years of education/people with college degree or above,0.1089336,"687,455"
178,5514,2008,Alaska,Black/white,0.0552909,"687,455"
179,6064,2008,Alaska,Hispanic/white,0.094632,"687,455"
180,15,2009,Alaska,Labor Force Participation,70.3,"698,895"
181,565,2009,Alaska,Unemployment rate,7.7,"698,895"
182,1115,2009,Alaska,Average household size,2.86,"698,895"
183,1665,2009,Alaska,Poverty rate,6.2,"698,895"
184,2215,2009,Alaska,"Number of corruption convictions per 1,000,000 people",1.43169,"698,895"
185,2765,2009,Alaska,Gini coefficient,0.40200001,"698,895"
186,3315,2009,Alaska,GDP,79942.26775,"698,895"
187,3865,2009,Alaska,Log(GDP),11.28906,"698,895"
188,4415,2009,Alaska,Age,32.6,"698,895"
189,4965,2009,Alaska,People with less than 9 years of education/people with college degree or above,0.1143231,"698,895"
190,5515,2009,Alaska,Black/white,0.0596027,"698,895"
191,6065,2009,Alaska,Hispanic/white,0.0955092,"698,895"
192,16,2010,Alaska,Labor Force Participation,69.8,"713,910"
193,566,2010,Alaska,Unemployment rate,7.9,"713,910"
194,1116,2010,Alaska,Average household size,2.7,"713,910"
195,1666,2010,Alaska,Poverty rate,7.2,"713,910"
196,2216,2010,Alaska,"Number of corruption convictions per 1,000,000 people",12.6053,"713,910"
197,2766,2010,Alaska,Gini coefficient,0.42199999,"713,910"
198,3316,2010,Alaska,GDP,75843.70587,"713,910"
199,3866,2010,Alaska,Log(GDP),11.23643,"713,910"
200,4416,2010,Alaska,Age,33.8,"713,910"
201,4966,2010,Alaska,People with less than 9 years of education/people with college degree or above,0.100999,"713,910"
202,5516,2010,Alaska,Black/white,0.054041,"713,910"
203,6066,2010,Alaska,Hispanic/white,0.0890186,"713,910"
204,17,2011,Alaska,Labor Force Participation,69.3,"722,128"
205,567,2011,Alaska,Unemployment rate,7.6,"722,128"
206,1117,2011,Alaska,Average household size,2.71,"722,128"
207,1667,2011,Alaska,Poverty rate,6.9,"722,128"
208,2217,2011,Alaska,"Number of corruption convictions per 1,000,000 people",5.53466,"722,128"
209,2767,2011,Alaska,Gini coefficient,0.40990001,"722,128"
210,3317,2011,Alaska,GDP,75611.22273,"722,128"
211,3867,2011,Alaska,Log(GDP),11.23336,"722,128"
212,4417,2011,Alaska,Age,33.9,"722,128"
213,4967,2011,Alaska,People with less than 9 years of education/people with college degree or above,0.1161704,"722,128"
214,5517,2011,Alaska,Black/white,0.0503288,"722,128"
215,6067,2011,Alaska,Hispanic/white,0.0905257,"722,128"
216,18,2012,Alaska,Labor Force Participation,68.4,"730,443"
217,568,2012,Alaska,Unemployment rate,7.1,"730,443"
218,1118,2012,Alaska,Average household size,2.8,"730,443"
219,1668,2012,Alaska,Poverty rate,7.5,"730,443"
220,2218,2012,Alaska,"Number of corruption convictions per 1,000,000 people",5.4686,"730,443"
221,2768,2012,Alaska,Gini coefficient,0.42320001,"730,443"
222,3318,2012,Alaska,GDP,78843.48786,"730,443"
223,3868,2012,Alaska,Log(GDP),11.27522,"730,443"
224,4418,2012,Alaska,Age,33.8,"730,443"
225,4968,2012,Alaska,People with less than 9 years of education/people with college degree or above,0.105484,"730,443"
226,5518,2012,Alaska,Black/white,0.0569157,"730,443"
227,6068,2012,Alaska,Hispanic/white,0.0948761,"730,443"
228,19,2013,Alaska,Labor Force Participation,67.9,"737,068"
229,569,2013,Alaska,Unemployment rate,7.0,"737,068"
230,1119,2013,Alaska,Average household size,2.88,"737,068"
231,1669,2013,Alaska,Poverty rate,5.9,"737,068"
232,2219,2013,Alaska,"Number of corruption convictions per 1,000,000 people",2.7206,"737,068"
233,2769,2013,Alaska,Gini coefficient,0.40830001,"737,068"
