year,state,office,candidatevotes,totalvotes,Vote Percent,party_simplified
2000,ARIZONA,US SENATE,109230,1397076,7.818472295,OTHER
2000,ARIZONA,US SENATE,108926,1397076,7.796712563,OTHER
2000,ARIZONA,US SENATE,1108196,1397076,79.32252791,REPUBLICAN
2000,ARIZONA,US SENATE,70724,1397076,5.062287234,LIBERTARIAN
2000,CALIFORNIA,US SENATE,96552,10623608,0.908843775,OTHER
2000,CALIFORNIA,US SENATE,326828,10623608,3.076431284,OTHER
2000,CALIFORNIA,US SENATE,3886853,10623608,36.5869392,REPUBLICAN
2000,CALIFORNIA,US SENATE,5932522,10623608,55.84281724,DEMOCRAT
2000,CALIFORNIA,US SENATE,58537,10623608,0.551008659,OTHER
2000,CALIFORNIA,US SENATE,134598,10623608,1.266970694,OTHER
2000,CALIFORNIA,US SENATE,187718,10623608,1.766989143,LIBERTARIAN
2000,CONNECTICUT,US SENATE,828902,1311261,63.21411222,DEMOCRAT
2000,CONNECTICUT,US SENATE,8773,1311261,0.669050631,LIBERTARIAN
2000,CONNECTICUT,US SENATE,448077,1311261,34.17145786,REPUBLICAN
2000,CONNECTICUT,US SENATE,25509,1311261,1.945379295,OTHER
2000,DELAWARE,US SENATE,181566,326993,55.52595927,DEMOCRAT
2000,DELAWARE,US SENATE,1103,326993,0.337316089,LIBERTARIAN
2000,DELAWARE,US SENATE,1044,326993,0.31927289,OTHER
2000,DELAWARE,US SENATE,142891,326993,43.69848896,REPUBLICAN
2000,DELAWARE,US SENATE,389,326993,0.118962791,OTHER
2000,FLORIDA,US SENATE,21664,5856731,0.369899181,OTHER
2000,FLORIDA,US SENATE,2989487,5856731,51.04361119,DEMOCRAT
2000,FLORIDA,US SENATE,2705348,5856731,46.19211639,REPUBLICAN
2000,FLORIDA,US SENATE,80830,5856731,1.380121436,OTHER
2000,FLORIDA,US SENATE,26087,5856731,0.445419125,OTHER
2000,FLORIDA,US SENATE,88,5856731,0.001502545,OTHER
2000,FLORIDA,US SENATE,17338,5856731,0.29603545,OTHER
2000,FLORIDA,US SENATE,15889,5856731,0.271294686,OTHER
2000,GEORGIA,US SENATE,920478,2415743,38.10330817,OTHER
2000,GEORGIA,US SENATE,25942,2415743,1.07387251,OTHER
2000,GEORGIA,US SENATE,22975,2415743,0.951053154,OTHER
2000,GEORGIA,US SENATE,21249,2415743,0.879605157,OTHER
2000,GEORGIA,US SENATE,1413224,2415743,58.50059381,DEMOCRAT
2000,GEORGIA,US SENATE,11875,2415743,0.491567191,OTHER
2000,HAWAII,US SENATE,84701,345623,24.50676026,REPUBLICAN
2000,HAWAII,US SENATE,3127,345623,0.904743029,LIBERTARIAN
2000,HAWAII,US SENATE,4220,345623,1.220983557,OTHER
2000,HAWAII,US SENATE,2360,345623,0.682824928,OTHER
2000,HAWAII,US SENATE,251215,345623,72.68468823,DEMOCRAT
2000,INDIANA,US SENATE,33992,2145209,1.584554232,LIBERTARIAN
2000,INDIANA,US SENATE,1427944,2145209,66.5643301,REPUBLICAN
2000,INDIANA,US SENATE,683273,2145209,31.85111567,DEMOCRAT
2000,MAINE,US SENATE,197183,634872,31.0587016,DEMOCRAT
2000,MAINE,US SENATE,437689,634872,68.9412984,REPUBLICAN
2000,MARYLAND,US SENATE,715178,1946898,36.73423056,REPUBLICAN
2000,MARYLAND,US SENATE,113,1946898,0.005804105,OTHER
2000,MARYLAND,US SENATE,1230013,1946898,63.17809151,DEMOCRAT
2000,MARYLAND,US SENATE,1594,1946898,0.081873832,OTHER
2000,MASSACHUSETTS,US SENATE,42113,2734048,1.540316776,OTHER
2000,MASSACHUSETTS,US SENATE,308860,2734048,11.2968024,LIBERTARIAN
2000,MASSACHUSETTS,US SENATE,8452,2734048,0.309138684,OTHER
2000,MASSACHUSETTS,US SENATE,134586,2734048,4.922590971,OTHER
2000,MASSACHUSETTS,US SENATE,42,2734048,0.001536184,OTHER
2000,MASSACHUSETTS,US SENATE,1889494,2734048,69.10975959,DEMOCRAT
2000,MASSACHUSETTS,US SENATE,13687,2734048,0.50061301,OTHER
2000,MASSACHUSETTS,US SENATE,2473,2734048,0.09045196,OTHER
2000,MASSACHUSETTS,US SENATE,334341,2734048,12.22879042,REPUBLICAN
2000,MICHIGAN,US SENATE,29966,4167685,0.719008274,LIBERTARIAN
2000,MICHIGAN,US SENATE,5630,4167685,0.135086985,OTHER
2000,MICHIGAN,US SENATE,26274,4167685,0.630421925,OTHER
2000,MICHIGAN,US SENATE,2061952,4167685,49.47475637,DEMOCRAT
2000,MICHIGAN,US SENATE,1994693,4167685,47.86093479,REPUBLICAN
2000,MICHIGAN,US SENATE,11628,4167685,0.279003811,OTHER
2000,MICHIGAN,US SENATE,37542,4167685,0.900787847,OTHER
2000,MINNESOTA,US SENATE,4,2419520,0.000165322,OTHER
2000,MINNESOTA,US SENATE,21447,2419520,0.886415487,OTHER
2000,MINNESOTA,US SENATE,1181553,2419520,48.83419025,DEMOCRAT
2000,MINNESOTA,US SENATE,140583,2419520,5.810367346,OTHER
2000,MINNESOTA,US SENATE,8915,2419520,0.368461513,OTHER
2000,MINNESOTA,US SENATE,12956,2419520,0.535478111,OTHER
2000,MINNESOTA,US SENATE,1047474,2419520,43.29263656,REPUBLICAN
2000,MINNESOTA,US SENATE,6588,2419520,0.272285412,LIBERTARIAN
