year,state,measure,cvotes,tVotes,totvotes,value,swing,color
2000,Alabama,Democrat Vote %,485660,861889,1438994,33.74996699,-25.26549798,#334ADC
2000,Alabama,Republican Vote %,849229,1229480,1438994,59.01546497,25.26549798,#E71212
2000,Alabama,Third Party Vote %,104105,2877988,1438994,7.234568039,7.234568039,#D1AA08
2000,Alaska,Democrat Vote %,45372,274393,274393,16.53540724,-53.02248964,#334ADC
2000,Alaska,Republican Vote %,190862,274393,274393,69.55789689,53.02248964,#E71212
2000,Alaska,Third Party Vote %,38159,1097572,274393,13.90669587,13.90669587,#D1AA08
2000,Arizona,Democrat Vote %,557849,1465656,1465656,38.06138685,-20.25482105,#334ADC
2000,Arizona,Republican Vote %,854715,1465656,1465656,58.3162079,20.25482105,#E71212
2000,Arizona,Third Party Vote %,53092,1875870,1465656,3.622405257,3.622405257,#D1AA08
2000,Arkansas,Democrat Vote %,355366,632765,632766,56.16072924,12.36144167,#334ADC
2000,Arkansas,Republican Vote %,277147,632766,632766,43.79928757,-12.36144167,#E71212
2000,Arkansas,Third Party Vote %,253,199956,632766,0.039983185,0.039983185,#D1AA08
2000,California,Democrat Vote %,5406623,10057253,10436607,51.80441306,9.20153456,#334ADC
2000,California,Republican Vote %,4446295,10208912,10436607,42.6028785,-9.20153456,#E71212
2000,California,Third Party Vote %,583689,22508099,10436607,5.592708435,5.592708435,#D1AA08
2000,Colorado,Democrat Vote %,496045,1054567,1623882,30.5468624,-29.10346934,#334ADC
2000,Colorado,Republican Vote %,968651,1623882,1623882,59.65033174,29.10346934,#E71212
2000,Colorado,Third Party Vote %,159186,3980210,1623882,9.802805869,9.802805869,#D1AA08
2000,Connecticut,Democrat Vote %,699237,1313490,1313490,53.23504557,8.264090324,#334ADC
2000,Connecticut,Republican Vote %,590689,1313490,1313490,44.97095524,-8.264090324,#E71212
2000,Connecticut,Third Party Vote %,23564,1760349,1313490,1.793999193,1.793999193,#D1AA08
2000,Delaware,Democrat Vote %,96488,313126,313126,30.81443253,-36.82511194,#334ADC
2000,Delaware,Republican Vote %,211797,313126,313126,67.63954446,36.82511194,#E71212
2000,Delaware,Third Party Vote %,4841,626252,313126,1.546023007,1.546023007,#D1AA08
2000,Florida,Democrat Vote %,1976189,3624116,5011220,39.43528722,-17.46947849,#334ADC
2000,Florida,Republican Vote %,2851623,4576867,5011220,56.90476571,17.46947849,#E71212
2000,Florida,Third Party Vote %,183408,6276391,5011220,3.659947079,3.659947079,#D1AA08
2000,Georgia,Democrat Vote %,918085,2216970,2416622,37.99042631,-24.01087137,#334ADC
2000,Georgia,Republican Vote %,1498337,2416622,2416622,62.00129768,24.01087137,#E71212
2000,Georgia,Third Party Vote %,200,414648,2416622,0.008276015,0.008276015,#D1AA08
2000,Hawaii,Democrat Vote %,221373,340424,340424,65.02861138,32.45305854,#334ADC
2000,Hawaii,Republican Vote %,110895,340424,340424,32.57555284,-32.45305854,#E71212
2000,Hawaii,Third Party Vote %,8156,340424,340424,2.395835781,2.395835781,#D1AA08
2000,Idaho,Democrat Vote %,142345,492835,492835,28.88289184,-38.61535808,#334ADC
2000,Idaho,Republican Vote %,332655,492835,492835,67.49824992,38.61535808,#E71212
2000,Idaho,Third Party Vote %,17835,760951,492835,3.618858239,3.618858239,#D1AA08
2000,Illinois,Democrat Vote %,2453674,4393286,4393286,55.85054103,12.43643141,#334ADC
2000,Illinois,Republican Vote %,1907306,3946177,4393286,43.41410962,-12.43643141,#E71212
2000,Illinois,Third Party Vote %,32306,969023,4393286,0.735349349,0.735349349,#D1AA08
2000,Indiana,Democrat Vote %,953167,2156744,2156744,44.1947213,-8.688421064,#334ADC
2000,Indiana,Republican Vote %,1140554,2156744,2156744,52.88314237,8.688421064,#E71212
2000,Indiana,Third Party Vote %,63023,2795458,2156744,2.922136331,2.922136331,#D1AA08
2000,Iowa,Democrat Vote %,531642,1275934,1274017,41.72958446,-14.57437381,#334ADC
2000,Iowa,Republican Vote %,717322,1275934,1274017,56.30395827,14.57437381,#E71212
2000,Iowa,Third Party Vote %,25053,3325365,1274017,1.966457276,1.966457276,#D1AA08
2000,Kansas,Democrat Vote %,328194,796052,1035961,31.68015012,-31.62551486,#334ADC
2000,Kansas,Republican Vote %,655822,1035961,1035961,63.30566498,31.62551486,#E71212
2000,Kansas,Third Party Vote %,51945,1035961,1035961,5.014184897,5.014184897,#D1AA08
2000,Kentucky,Democrat Vote %,561752,1435409,1435409,39.13532659,-18.33365961,#334ADC
2000,Kentucky,Republican Vote %,824915,1435409,1435409,57.46898619,18.33365961,#E71212
2000,Kentucky,Third Party Vote %,48742,1511779,1435409,3.395687222,3.395687222,#D1AA08
2000,Louisiana,Democrat Vote %,359669,1435495,1202172,29.91826461,-32.22883248,#334ADC
2000,Louisiana,Republican Vote %,747115,1018688,1202172,62.14709709,32.22883248,#E71212
2000,Louisiana,Third Party Vote %,95388,1981868,1202172,7.934638305,7.934638305,#D1AA08
2000,Maine,Democrat Vote %,422606,638399,638399,66.1977854,34.33103749,#334ADC
2000,Maine,Republican Vote %,203437,638399,638399,31.86674791,-34.33103749,#E71212
2000,Maine,Third Party Vote %,12356,339094,638399,1.935466691,1.935466691,#D1AA08
2000,Maryland,Democrat Vote %,1060934,2227233,1926764,55.06299682,10.62029392,#334ADC
2000,Maryland,Republican Vote %,856306,1926764,1926764,44.44270289,-10.62029392,#E71212
2000,Maryland,Third Party Vote %,9524,3484216,1926764,0.494300288,0.494300288,#D1AA08
2000,Massachusetts,Democrat Vote %,1967942,2733972,2721817,72.30250968,59.6823372,#334ADC
2000,Massachusetts,Republican Vote %,343498,1450386,2721817,12.62017248,-59.6823372,#E71212
2000,Massachusetts,Third Party Vote %,410377,5751325,2721817,15.07731784,15.07731784,#D1AA08
2000,Michigan,Democrat Vote %,2177618,4069660,4069660,53.50859777,9.598787122,#334ADC
2000,Michigan,Republican Vote %,1786980,4069660,4069660,43.90981065,-9.598787122,#E71212
2000,Michigan,Third Party Vote %,105062,13707775,4069660,2.581591583,2.581591583,#D1AA08
2000,Minnesota,Democrat Vote %,1234204,2363738,2363738,52.21407787,10.18865035,#334ADC
2000,Minnesota,Republican Vote %,993371,2363738,2363738,42.02542752,-10.18865035,#E71212
2000,Minnesota,Third Party Vote %,136163,4052329,2363738,5.760494606,5.760494606,#D1AA08
2000,Mississippi,Democrat Vote %,495687,986139,986139,50.26542911,2.758637474,#334ADC
2000,Mississippi,Republican Vote %,468483,986139,986139,47.50679164,-2.758637474,#E71212
2000,Mississippi,Third Party Vote %,21969,1552875,986139,2.227779248,2.227779248,#D1AA08
2000,Missouri,Democrat Vote %,1136020,2325788,2325788,48.84452065,0.012726869,#334ADC
2000,Missouri,Republican Vote %,1135724,2325788,2325788,48.83179378,-0.012726869,#E71212
2000,Missouri,Third Party Vote %,54044,6200208,2325788,2.323685564,2.323685564,#D1AA08
2000,Montana,Democrat Vote %,189971,410521,410521,46.27558639,-5.224336879,#334ADC
2000,Montana,Republican Vote %,211418,410521,410521,51.49992327,5.224336879,#E71212
2000,Montana,Third Party Vote %,9132,410521,410521,2.224490343,2.224490343,#D1AA08
2000,Nebraska,Democrat Vote %,178071,683071,683071,26.06917875,-45.15518885,#334ADC
2000,Nebraska,Republican Vote %,486513,683071,683071,71.2243676,45.15518885,#E71212
2000,Nebraska,Third Party Vote %,18487,1366142,683071,2.706453648,2.706453648,#D1AA08
2000,Nevada,Democrat Vote %,224848,586653,586653,38.32725649,-18.07473924,#334ADC
2000,Nevada,Republican Vote %,330884,586653,586653,56.40199573,18.07473924,#E71212
2000,Nevada,Third Party Vote %,30921,3189631,586653,5.270747784,5.270747784,#D1AA08
2000,New Hampshire,Democrat Vote %,238754,556049,556049,42.93758284,-11.58818737,#334ADC
2000,New Hampshire,Republican Vote %,303190,556049,556049,54.52577021,11.58818737,#E71212
2000,New Hampshire,Third Party Vote %,14105,827389,556049,2.53664695,2.53664695,#D1AA08
2000,New Jersey,Democrat Vote %,1532240,2988233,2988233,51.2757874,4.955102229,#334ADC
2000,New Jersey,Republican Vote %,1384170,2988233,2988233,46.32068517,-4.955102229,#E71212
2000,New Jersey,Third Party Vote %,71823,8519025,2988233,2.403527436,2.403527436,#D1AA08
2000,New Mexico,Democrat Vote %,299841,587514,587514,51.03554979,4.395469725,#334ADC
2000,New Mexico,Republican Vote %,274017,587514,587514,46.64008007,-4.395469725,#E71212
2000,New Mexico,Third Party Vote %,13656,213139,587514,2.324370143,2.324370143,#D1AA08
2000,New York,Democrat Vote %,3051701,6948676,6948676,43.91773339,11.74669822,#334ADC
2000,New York,Republican Vote %,2235461,6773054,6948676,32.17103517,-11.74669822,#E71212
2000,New York,Third Party Vote %,1661514,32366852,6948676,23.91123143,23.91123143,#D1AA08
2000,North Carolina,Democrat Vote %,1193600,2378860,2779800,42.93834089,-11.55500396,#334ADC
2000,North Carolina,Republican Vote %,1514806,2779800,2779800,54.49334484,11.55500396,#E71212
2000,North Carolina,Third Party Vote %,71394,3259105,2779800,2.568314267,2.568314267,#D1AA08
2000,North Dakota,Democrat Vote %,151173,285658,285658,52.92097543,8.374349747,#334ADC
2000,North Dakota,Republican Vote %,127251,285658,285658,44.54662569,-8.374349747,#E71212
2000,North Dakota,Third Party Vote %,7234,856974,285658,2.532398883,2.532398883,#D1AA08
2000,Ohio,Democrat Vote %,2098854,4585038,4585038,45.77615278,-2.979451861,#334ADC
2000,Ohio,Republican Vote %,2235463,4370791,4585038,48.75560464,2.979451861,#E71212
2000,Ohio,Third Party Vote %,250721,7687028,4585038,5.468242575,5.468242575,#D1AA08
2000,Oklahoma,Democrat Vote %,336955,928299,1087515,30.98394045,-33.55034183,#334ADC
2000,Oklahoma,Republican Vote %,701820,1087515,1087515,64.53428229,33.55034183,#E71212
2000,Oklahoma,Third Party Vote %,48740,1618437,1087515,4.481777263,4.481777263,#D1AA08
2000,Oregon,Democrat Vote %,790365,1440002,1440002,54.8863821,12.72685732,#334ADC
2000,Oregon,Republican Vote %,607098,1440002,1440002,42.15952478,-12.72685732,#E71212
2000,Oregon,Third Party Vote %,42539,2848071,1440002,2.954093119,2.954093119,#D1AA08
2000,Pennsylvania,Democrat Vote %,2279227,4195162,4552010,50.07078192,1.102150479,#334ADC
2000,Pennsylvania,Republican Vote %,2229057,4220783,4552010,48.96863144,-1.102150479,#E71212
2000,Pennsylvania,Third Party Vote %,43726,1503371,4552010,0.960586642,0.960586642,#D1AA08
2000,Rhode Island,Democrat Vote %,247247,384272,384272,64.34166424,41.0628409,#334ADC
2000,Rhode Island,Republican Vote %,89454,384272,384272,23.27882333,-41.0628409,#E71212
2000,Rhode Island,Third Party Vote %,47571,782314,384272,12.37951243,12.37951243,#D1AA08
2000,South Carolina,Democrat Vote %,523141,1132261,1321312,39.59254135,-15.64066625,#334ADC
2000,South Carolina,Republican Vote %,729803,1321312,1321312,55.2332076,15.64066625,#E71212
2000,South Carolina,Third Party Vote %,68368,4768318,1321312,5.174251047,5.174251047,#D1AA08
2000,South Dakota,Democrat Vote %,78321,314761,314761,24.88268877,-48.53269624,#334ADC
2000,South Dakota,Republican Vote %,231083,314761,314761,73.41538501,48.53269624,#E71212
2000,South Dakota,Third Party Vote %,5357,314761,314761,1.701926223,1.701926223,#D1AA08
2000,Tennessee,Democrat Vote %,819100,1487045,1854378,44.17114526,-9.323018284,#334ADC
2000,Tennessee,Republican Vote %,991984,1711044,1854378,53.49416354,9.323018284,#E71212
