year,state,measure,value,population
2005,Alabama,Labor Force Participation,61.7,"4,569,805"
2005,Alabama,Unemployment rate,4.5,"4,569,805"
2005,Alabama,Average household size,2.48,"4,569,805"
2005,Alabama,Poverty rate,13.7,"4,569,805"
2005,Alabama,"Number of corruption convictions per 1,000,000 people",5.68951,"4,569,805"
2005,Alabama,Gini coefficient,0.47300002,"4,569,805"
2005,Alabama,GDP,40829.08606,"4,569,805"
2005,Alabama,Log(GDP),10.61715,"4,569,805"
2005,Alabama,Age,37.4,"4,569,805"
2005,Alabama,People with less than 9 years of education/people with college degree or above,0.2972893,"4,569,805"
2005,Alabama,Black/white,0.3691249,"4,569,805"
2005,Alabama,Hispanic/white,0.0320121,"4,569,805"
2006,Alabama,Labor Force Participation,61.5,"4,628,981"
2006,Alabama,Unemployment rate,4,"4,628,981"
2006,Alabama,Average household size,2.5,"4,628,981"
2006,Alabama,Poverty rate,12.6,"4,628,981"
2006,Alabama,"Number of corruption convictions per 1,000,000 people",11.0175,"4,628,981"
2006,Alabama,Gini coefficient,0.472,"4,628,981"
2006,Alabama,GDP,40181.42086,"4,628,981"
2006,Alabama,Log(GDP),10.60116,"4,628,981"
2006,Alabama,Age,37.2,"4,628,981"
2006,Alabama,People with less than 9 years of education/people with college degree or above,0.3130323,"4,628,981"
2006,Alabama,Black/white,0.37965,"4,628,981"
2006,Alabama,Hispanic/white,0.0351332,"4,628,981"
2007,Alabama,Labor Force Participation,61.1,"4,672,840"
2007,Alabama,Unemployment rate,4,"4,672,840"
2007,Alabama,Average household size,2.48,"4,672,840"
2007,Alabama,Poverty rate,13.1,"4,672,840"
2007,Alabama,"Number of corruption convictions per 1,000,000 people",11.1281,"4,672,840"
2007,Alabama,Gini coefficient,0.47099999,"4,672,840"
2007,Alabama,GDP,40162.94165,"4,672,840"
2007,Alabama,Log(GDP),10.6007,"4,672,840"
2007,Alabama,Age,37.3,"4,672,840"
2007,Alabama,People with less than 9 years of education/people with college degree or above,0.296267,"4,672,840"
2007,Alabama,Black/white,0.3804643,"4,672,840"
2007,Alabama,Hispanic/white,0.0375909,"4,672,840"
2008,Alabama,Labor Force Participation,60.6,"4,718,206"
2008,Alabama,Unemployment rate,5.7,"4,718,206"
2008,Alabama,Average household size,2.5,"4,718,206"
2008,Alabama,Poverty rate,12,"4,718,206"
2008,Alabama,"Number of corruption convictions per 1,000,000 people",3.64658,"4,718,206"
2008,Alabama,Gini coefficient,0.46700001,"4,718,206"
2008,Alabama,GDP,39747.41156,"4,718,206"
2008,Alabama,Log(GDP),10.5903,"4,718,206"
2008,Alabama,Age,37.4,"4,718,206"
2008,Alabama,People with less than 9 years of education/people with college degree or above,0.2789401,"4,718,206"
2008,Alabama,Black/white,0.3828507,"4,718,206"
2008,Alabama,Hispanic/white,0.0408255,"4,718,206"
2009,Alabama,Labor Force Participation,59.7,"4,757,938"
2009,Alabama,Unemployment rate,11,"4,757,938"
2009,Alabama,Average household size,2.48,"4,757,938"
2009,Alabama,Poverty rate,13.4,"4,757,938"
2009,Alabama,"Number of corruption convictions per 1,000,000 people",4.88457,"4,757,938"
2009,Alabama,Gini coefficient,0.47099999,"4,757,938"
2009,Alabama,GDP,37807.01703,"4,757,938"
2009,Alabama,Log(GDP),10.54025,"4,757,938"
2009,Alabama,Age,37.4,"4,757,938"
2009,Alabama,People with less than 9 years of education/people with college degree or above,0.2730448,"4,757,938"
2009,Alabama,Black/white,0.3843096,"4,757,938"
2009,Alabama,Hispanic/white,0.0463569,"4,757,938"
2010,Alabama,Labor Force Participation,59.5,"4,785,437"
2010,Alabama,Unemployment rate,10.5,"4,785,437"
2010,Alabama,Average household size,2.57,"4,785,437"
2010,Alabama,Poverty rate,14.7,"4,785,437"
2010,Alabama,"Number of corruption convictions per 1,000,000 people",2.92563,"4,785,437"
2010,Alabama,Gini coefficient,0.472,"4,785,437"
2010,Alabama,GDP,38088.20755,"4,785,437"
2010,Alabama,Log(GDP),10.54766,"4,785,437"
2010,Alabama,Age,37.8,"4,785,437"
2010,Alabama,People with less than 9 years of education/people with college degree or above,0.2823263,"4,785,437"
2010,Alabama,Black/white,0.393883,"4,785,437"
2010,Alabama,Hispanic/white,0.0570079,"4,785,437"
2011,Alabama,Labor Force Participation,59.1,"4,799,069"
2011,Alabama,Unemployment rate,9.6,"4,799,069"
2011,Alabama,Average household size,2.54,"4,799,069"
2011,Alabama,Poverty rate,14.9,"4,799,069"
2011,Alabama,"Number of corruption convictions per 1,000,000 people",2.915,"4,799,069"
2011,Alabama,Gini coefficient,0.47350001,"4,799,069"
2011,Alabama,GDP,38531.06199,"4,799,069"
2011,Alabama,Log(GDP),10.55922,"4,799,069"
2011,Alabama,Age,38.1,"4,799,069"
2011,Alabama,People with less than 9 years of education/people with college degree or above,0.2504067,"4,799,069"
2011,Alabama,Black/white,0.4000218,"4,799,069"
2011,Alabama,Hispanic/white,0.0581422,"4,799,069"
2012,Alabama,Labor Force Participation,58.1,"4,815,588"
2012,Alabama,Unemployment rate,8,"4,815,588"
2012,Alabama,Average household size,2.55,"4,815,588"
2012,Alabama,Poverty rate,14.7,"4,815,588"
2012,Alabama,"Number of corruption convictions per 1,000,000 people",2.90335,"4,815,588"
2012,Alabama,Gini coefficient,0.47260001,"4,815,588"
2012,Alabama,GDP,38634.85008,"4,815,588"
2012,Alabama,Log(GDP),10.56191,"4,815,588"
2012,Alabama,Age,38.2,"4,815,588"
2012,Alabama,People with less than 9 years of education/people with college degree or above,0.2295937,"4,815,588"
2012,Alabama,Black/white,0.3972534,"4,815,588"
2012,Alabama,Hispanic/white,0.0577254,"4,815,588"
2013,Alabama,Labor Force Participation,57.7,"4,830,081"
2013,Alabama,Unemployment rate,7.2,"4,830,081"
2013,Alabama,Average household size,2.59,"4,830,081"
2013,Alabama,Poverty rate,14.3,"4,830,081"
2013,Alabama,"Number of corruption convictions per 1,000,000 people",2.89632,"4,830,081"
2013,Alabama,Gini coefficient,0.4752,"4,830,081"
2013,Alabama,GDP,38927.64712,"4,830,081"
2013,Alabama,Log(GDP),10.56946,"4,830,081"
2013,Alabama,Age,38.3,"4,830,081"
2013,Alabama,People with less than 9 years of education/people with college degree or above,0.2089839,"4,830,081"
2013,Alabama,Black/white,0.4007154,"4,830,081"
2013,Alabama,Hispanic/white,0.0592706,"4,830,081"
2014,Alabama,Labor Force Participation,57.1,"4,841,799"
2014,Alabama,Unemployment rate,6.8,"4,841,799"
2014,Alabama,Average household size,2.57,"4,841,799"
2014,Alabama,Poverty rate,15,"4,841,799"
