year,STATE,value,measure,state
2000,ARIZONA,79.32252791,REPUBLICAN,Arizona
2000,ARIZONA,5.062287234,LIBERTARIAN,Arizona
2000,CALIFORNIA,36.5869392,REPUBLICAN,California
2000,CALIFORNIA,55.84281724,DEMOCRAT,California
2000,CALIFORNIA,1.766989143,LIBERTARIAN,California
2000,CONNECTICUT,63.21411222,DEMOCRAT,Connecticut
2000,CONNECTICUT,0.669050631,LIBERTARIAN,Connecticut
2000,CONNECTICUT,34.17145786,REPUBLICAN,Connecticut
2000,DELAWARE,55.52595927,DEMOCRAT,Delaware
2000,DELAWARE,0.337316089,LIBERTARIAN,Delaware
2000,DELAWARE,43.69848896,REPUBLICAN,Delaware
2000,FLORIDA,51.04361119,DEMOCRAT,Florida
2000,FLORIDA,46.19211639,REPUBLICAN,Florida
2000,GEORGIA,58.50059381,DEMOCRAT,Georgia
2000,HAWAII,24.50676026,REPUBLICAN,Hawaii
2000,HAWAII,0.904743029,LIBERTARIAN,Hawaii
2000,HAWAII,72.68468823,DEMOCRAT,Hawaii
2000,INDIANA,1.584554232,LIBERTARIAN,Indiana
2000,INDIANA,66.5643301,REPUBLICAN,Indiana
2000,INDIANA,31.85111567,DEMOCRAT,Indiana
2000,MAINE,31.0587016,DEMOCRAT,Maine
2000,MAINE,68.9412984,REPUBLICAN,Maine
2000,MARYLAND,36.73423056,REPUBLICAN,Maryland
2000,MARYLAND,63.17809151,DEMOCRAT,Maryland
2000,MASSACHUSETTS,11.2968024,LIBERTARIAN,Massachusetts
2000,MASSACHUSETTS,69.10975959,DEMOCRAT,Massachusetts
2000,MASSACHUSETTS,12.22879042,REPUBLICAN,Massachusetts
2000,MICHIGAN,0.719008274,LIBERTARIAN,Michigan
2000,MICHIGAN,49.47475637,DEMOCRAT,Michigan
2000,MICHIGAN,47.86093479,REPUBLICAN,Michigan
2000,MINNESOTA,48.83419025,DEMOCRAT,Minnesota
2000,MINNESOTA,43.29263656,REPUBLICAN,Minnesota
2000,MINNESOTA,0.272285412,LIBERTARIAN,Minnesota
2000,MISSISSIPPI,65.87989265,REPUBLICAN,Mississippi
2000,MISSISSIPPI,31.59401455,DEMOCRAT,Mississippi
