,state,year,population,113 Cause Name,measure,value,Age-adjusted Death Rate
0,Alabama,2005,"4,569,805","Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,52.40923846859986,51.9
1,Alabama,2005,"4,569,805",All Causes,All causes,1030.4597242114269,"1,001.30"
2,Alabama,2005,"4,569,805",Alzheimer's disease (G30),Alzheimer's disease,32.846040476563005,33.4
3,Alabama,2005,"4,569,805",Cerebrovascular diseases (I60-I69),Stroke,64.59794236296734,63.4
4,Alabama,2005,"4,569,805",Chronic lower respiratory diseases (J40-J47),CLRD,52.12476243515861,50.1
5,Alabama,2005,"4,569,805",Diabetes mellitus (E10-E14),Diabetes,31.27048090673453,29.9
6,Alabama,2005,"4,569,805","Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,281.60939033503615,274.5
7,Alabama,2005,"4,569,805",Influenza and pneumonia (J09-J18),Influenza and pneumonia,22.123482293008124,22
8,Alabama,2005,"4,569,805","Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,11.707282914697673,11.5
9,Alabama,2005,"4,569,805",Malignant neoplasms (C00-C97),Cancer,216.92391688485614,204.4
10,Alabama,2005,"4,569,805","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,22.670551588087456,22.1
11,Alaska,2005,"666,946","Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,46.93033618913675,50.8
12,Alaska,2005,"666,946",All Causes,All causes,475.0009745916461,762.3
13,Alaska,2005,"666,946",Alzheimer's disease (G30),Alzheimer's disease,9.146167755710357,22.2
14,Alaska,2005,"666,946",Cerebrovascular diseases (I60-I69),Stroke,26.68881738551547,54.9
15,Alaska,2005,"666,946",Chronic lower respiratory diseases (J40-J47),CLRD,23.690073859053058,42.7
16,Alaska,2005,"666,946",Diabetes mellitus (E10-E14),Diabetes,13.944157398050217,22.4
17,Alaska,2005,"666,946","Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,94.01060955459663,166.1
18,Alaska,2005,"666,946",Influenza and pneumonia (J09-J18),Influenza and pneumonia,6.597235758217307,12.7
19,Alaska,2005,"666,946","Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,19.641770098328802,19.9
20,Alaska,2005,"666,946",Malignant neoplasms (C00-C97),Cancer,109.75401306852429,171
21,Alaska,2005,"666,946","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,5.697612700278583,10.5
22,Arizona,2005,"5,839,077","Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,53.94688235829053,54.7
23,Arizona,2005,"5,839,077",All Causes,All causes,784.8329453439302,786.7
24,Arizona,2005,"5,839,077",Alzheimer's disease (G30),Alzheimer's disease,31.357695745406335,33
25,Arizona,2005,"5,839,077",Cerebrovascular diseases (I60-I69),Stroke,40.485850760317085,41.4
26,Arizona,2005,"5,839,077",Chronic lower respiratory diseases (J40-J47),CLRD,48.31243020086907,48
27,Arizona,2005,"5,839,077",Diabetes mellitus (E10-E14),Diabetes,20.68820123454443,20.4
28,Arizona,2005,"5,839,077","Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,187.80365458444888,189.8
29,Arizona,2005,"5,839,077",Influenza and pneumonia (J09-J18),Influenza and pneumonia,22.212414736096132,22.6
30,Arizona,2005,"5,839,077","Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,16.18406470748716,16.4
31,Arizona,2005,"5,839,077",Malignant neoplasms (C00-C97),Cancer,168.1772650026708,164.2
32,Arizona,2005,"5,839,077","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,10.412604594870045,10.5
33,Arkansas,2005,"2,781,097","Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,47.78689847926915,47
34,Arkansas,2005,"2,781,097",All Causes,All causes,1008.7745950608698,931.5
35,Arkansas,2005,"2,781,097",Alzheimer's disease (G30),Alzheimer's disease,24.666525475378958,22.8
36,Arkansas,2005,"2,781,097",Cerebrovascular diseases (I60-I69),Stroke,66.41264220557571,61.2
37,Arkansas,2005,"2,781,097",Chronic lower respiratory diseases (J40-J47),CLRD,56.05701635002303,51.1
38,Arkansas,2005,"2,781,097",Diabetes mellitus (E10-E14),Diabetes,29.628596197831286,27.1
39,Arkansas,2005,"2,781,097","Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,272.37453422156796,250.3
40,Arkansas,2005,"2,781,097",Influenza and pneumonia (J09-J18),Influenza and pneumonia,31.857932319512766,29.4
41,Arkansas,2005,"2,781,097","Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,14.382813688267614,14.3
42,Arkansas,2005,"2,781,097",Malignant neoplasms (C00-C97),Cancer,228.72269467767575,207.7
