,year,state,measure,value
0,2005,Alabama,Labor Force Participation,61.7
1,2006,Alabama,Labor Force Participation,61.5
2,2007,Alabama,Labor Force Participation,61.1
3,2008,Alabama,Labor Force Participation,60.6
4,2009,Alabama,Labor Force Participation,59.7
5,2010,Alabama,Labor Force Participation,59.5
6,2011,Alabama,Labor Force Participation,59.1
7,2012,Alabama,Labor Force Participation,58.1
8,2013,Alabama,Labor Force Participation,57.7
9,2014,Alabama,Labor Force Participation,57.1
10,2015,Alabama,Labor Force Participation,56.8
11,2005,Alaska,Labor Force Participation,71.7
12,2006,Alaska,Labor Force Participation,71.4
13,2007,Alaska,Labor Force Participation,70.7
14,2008,Alaska,Labor Force Participation,71
15,2009,Alaska,Labor Force Participation,70.3
16,2010,Alaska,Labor Force Participation,69.8
17,2011,Alaska,Labor Force Participation,69.3
18,2012,Alaska,Labor Force Participation,68.4
19,2013,Alaska,Labor Force Participation,67.9
20,2014,Alaska,Labor Force Participation,67.7
21,2015,Alaska,Labor Force Participation,67
22,2005,Arizona,Labor Force Participation,64.6
23,2006,Arizona,Labor Force Participation,64.6
24,2007,Arizona,Labor Force Participation,63.7
25,2008,Arizona,Labor Force Participation,63.8
26,2009,Arizona,Labor Force Participation,63.2
27,2010,Arizona,Labor Force Participation,63.1
28,2011,Arizona,Labor Force Participation,61.7
29,2012,Arizona,Labor Force Participation,60.5
30,2013,Arizona,Labor Force Participation,59.6
31,2014,Arizona,Labor Force Participation,59.9
32,2015,Arizona,Labor Force Participation,60
33,2005,Arkansas,Labor Force Participation,63.7
34,2006,Arkansas,Labor Force Participation,63.7
35,2007,Arkansas,Labor Force Participation,63.2
36,2008,Arkansas,Labor Force Participation,62.9
37,2009,Arkansas,Labor Force Participation,61.7
38,2010,Arkansas,Labor Force Participation,60.6
39,2011,Arkansas,Labor Force Participation,60.5
40,2012,Arkansas,Labor Force Participation,59.2
41,2013,Arkansas,Labor Force Participation,58.1
42,2014,Arkansas,Labor Force Participation,57.6
43,2015,Arkansas,Labor Force Participation,57.9
44,2005,California,Labor Force Participation,65.5
45,2006,California,Labor Force Participation,65.4
46,2007,California,Labor Force Participation,65.6
47,2008,California,Labor Force Participation,65.8
48,2009,California,Labor Force Participation,65.2
49,2010,California,Labor Force Participation,64.3
50,2011,California,Labor Force Participation,63.6
51,2012,California,Labor Force Participation,63.2
52,2013,California,Labor Force Participation,62.8
53,2014,California,Labor Force Participation,62.4
54,2015,California,Labor Force Participation,62.1
55,2005,Colorado,Labor Force Participation,72.3
56,2006,Colorado,Labor Force Participation,72.4
57,2007,Colorado,Labor Force Participation,72.2
