state,deaths
Alabama,53238
Alaska,4411
Arkansas,57758
Arizona,32588
California,268189
Colorado,38063
Connecticut,31312
Delaware,9178
District of Columbia,4965
Florida,203636
Georgia,83098
Hawaii,11390
Iowa,14011
Idaho,109721
Illinois,65597
Indiana,30530
Kansas,27063
Kentucky,48212
Louisiana,45804
Maine,14676
Maryland,49926
Massachusetts,58803
Michigan,97602
Minnesota,44371
Missouri,32280
Mississippi,61876
Montana,10200
North Carolina,16878
North Dakota,24657
Nebraska,12504
New Hampshire,74846
New Jersey,18673
New Mexico,155358
Nevada,93157
New York,6415
Ohio,123648
Oklahoma,40452
Oregon,36624
Pennsylvania,135656
Rhode Island,10157
South Carolina,49441
South Dakota,7996
Tennessee,70096
Texas,198106
Utah,18035
Virginia,6007
Vermont,68579
Washington,56995
Wisconsin,23276
West Virginia,52681
Wyoming,4768
